Sales_ID,name,year,selling_price,km_driven,City,fuel,transmission,owner,mileage,engine,max_power,torque,seats,sold
1,Maruti,2014,450000,145500,Washington,Diesel,Manual,First_Owner,23.4,1248,74,190Nm@ 2000rpm,5,Y
2,Skoda,2014,370000,120000,New York City,Diesel,Manual,Second_Owner,21.14,1498,103.52,250Nm@ 1500-2500rpm,5,Y
3,Honda,2006,158000,140000,Chicago,Petrol,Manual,Third_Owner,17.7,1497,78,"12.7@ 2,700(kgm@ rpm)",5,Y
4,Hyundai,2010,225000,127000,Chicago,Diesel,Manual,First_Owner,23,1396,90,22.4 kgm at 1750-2750rpm,5,Y
5,Maruti,2007,130000,120000,New York City,Petrol,Manual,First_Owner,16.1,1298,88.2,"11.5@ 4,500(kgm@ rpm)",5,Y
6,Hyundai,2017,440000,45000,New York City,Petrol,Manual,First_Owner,20.14,1197,81.86,113.75nm@ 4000rpm,5,Y
7,Maruti,2007,96000,175000,Los Angeles,LPG,Manual,First_Owner,17.3,1061,57.5,"7.8@ 4,500(kgm@ rpm)",5,Y
8,Maruti,2001,45000,5000,Los Angeles,Petrol,Manual,Second_Owner,16.1,796,37,59Nm@ 2500rpm,4,Y
9,Toyota,2011,350000,90000,Los Angeles,Diesel,Manual,First_Owner,23.59,1364,67.1,170Nm@ 1800-2400rpm,5,Y
10,Ford,2013,200000,169000,Houston,Diesel,Manual,First_Owner,20,1399,68.1,160Nm@ 2000rpm,5,Y
11,Renault,2014,500000,68000,New York City,Diesel,Manual,Second_Owner,19.01,1461,108.45,248Nm@ 2250rpm,5,Y
12,Maruti,2005,92000,100000,Houston,Petrol,Manual,Second_Owner,17.3,993,60,78Nm@ 4500rpm,5,Y
13,Maruti,2009,280000,140000,Houston,Diesel,Manual,Second_Owner,19.3,1248,73.9,190Nm@ 2000rpm,5,Y
15,Maruti,2009,180000,90000,Boston,Petrol,Manual,Second_Owner,18.9,1061,67,84Nm@ 3500rpm,5,Y
16,Mahindra,2016,400000,40000,Boston,Petrol,Manual,First_Owner,18.15,1198,82,115Nm@ 3500-3600rpm,5,Y
17,Maruti,2016,778000,70000,Dallas,Diesel,Manual,Second_Owner,24.52,1248,88.5,200Nm@ 1750rpm,7,Y
18,Hyundai,2012,500000,53000,Dallas,Diesel,Manual,Second_Owner,23,1396,90,22.4 kgm at 1750-2750rpm,5,Y
19,Maruti,2002,150000,80000,Dallas,Petrol,Manual,Second_Owner,19.7,796,46.3,62Nm@ 3000rpm,5,Y
