,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Drivetrain,Emission_Norm,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,City_Mileage,Highway_Mileage,ARAI_Certified_Mileage,ARAI_Certified_Mileage_for_CNG,Kerb_Weight,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Power_Steering,Power,Torque,Seating_Capacity,Type,Wheelbase,Boot_Space,Ventilation_System,ABS_(Anti-lock_Braking_System),Gross_Vehicle_Weight,Number_of_Airbags
0,Tata,Nano Genx,Xt,"Rs. 2,92,667",624 cc,2,RWD (Rear Wheel Drive),BS IV,24 litres,Petrol,1652 mm,3164 mm,1750 mm,Hatchback,?23.6 km/litre,,23.6 km/litre,,660 kg,4,180 mm,Drum,Drum,Electric Power,38PS@5500rpm,51Nm@4000rpm,4,Manual,2230 mm,110 litres,Manual Air conditioning with cooling and heating,,,
1,Tata,Nano Genx,Xe,"Rs. 2,36,447",624 cc,2,RWD (Rear Wheel Drive),BS IV,24 litres,Petrol,1652 mm,3164 mm,1750 mm,Hatchback,?23.6 km/litre,,23.6 km/litre,,725 kg,4,180 mm,Drum,Drum,,38PS@5500rpm,51Nm@4000rpm,4,Manual,2230 mm,110 litres,,,,
2,Tata,Nano Genx,Emax Xm,"Rs. 2,96,661",624 cc,2,RWD (Rear Wheel Drive),BS IV,15 litres,CNG,1652 mm,3164 mm,1750 mm,Hatchback,,,,36 km/kg,710 kg,4,180 mm,Drum,Drum,Electric Power,38PS@5500rpm,51Nm@4000rpm,4,Manual,2230 mm,110 litres,Air Conditioning with cooling only,,,
3,Tata,Nano Genx,Xta,"Rs. 3,34,768",624 cc,2,RWD (Rear Wheel Drive),BS IV,24 litres,Petrol,1652 mm,3164 mm,1750 mm,Hatchback,?23.6 km/litre,,21.9 km/litre,,725 kg,5,180 mm,Drum,Drum,Electric Power,38PS@5500rpm,51Nm@4000rpm,4,Automatic,2230 mm,94 litres,Manual Air conditioning with cooling and heating,,,
4,Tata,Nano Genx,Xm,"Rs. 2,72,223",624 cc,2,RWD (Rear Wheel Drive),BS IV,24 litres,Petrol,1652 mm,3164 mm,1750 mm,Hatchback,?23.6 km/litre,,23.6 km/litre,,725 kg,4,180 mm,Drum,Drum,Electric Power,38PS@5500rpm,51Nm@4000rpm,4,Manual,2230 mm,110 litres,Air Conditioning with cooling only,,,
5,Tata,Nano Genx,Xma,"Rs. 3,14,815",624 cc,2,RWD (Rear Wheel Drive),BS IV,24 litres,Petrol,1652 mm,3164 mm,1750 mm,Hatchback,?23.6 km/litre,,21.9 km/litre,,710 kg,5,180 mm,Drum,Drum,Electric Power,38PS@5500rpm,51Nm@4000rpm,4,Automatic,2230 mm,94 litres,Air Conditioning with cooling only,,,
6,Datsun,Redi-Go,D,"Rs. 2,79,650",799 cc,3,FWD (Front Wheel Drive),BS IV,28 litres,Petrol,1541 mm,3429 mm,1560 mm,Hatchback,21.38 km/litre,24 km/litre,25.17 km/litre,,,5,185 mm,Ventilated Disc,Drum,,54PS@5678rpm,72Nm@4386rpm,5,Manual,2348 mm,222 litres,Yes,Yes,,
7,Datsun,Redi-Go,T,"Rs. 3,51,832",799 cc,3,FWD (Front Wheel Drive),BS IV,28 litres,Petrol,1541 mm,3429 mm,1560 mm,Hatchback,21.38 km/litre,24 km/litre,25.17 km/litre,,,5,185 mm,Ventilated Disc,Drum,Electric Power,54PS@5678rpm,72Nm@4386rpm,5,Manual,2348 mm,222 litres,Manual Air conditioning with cooling and heating,,,
8,Datsun,Redi-Go,A,"Rs. 3,33,419",799 cc,3,FWD (Front Wheel Drive),BS IV,28 litres,Petrol,1541 mm,3429 mm,1560 mm,Hatchback,21.38 km/litre,24 km/litre,25.17 km/litre,,,5,185 mm,Ventilated Disc,Drum,Electric Power,54PS@5678rpm,72Nm@4386rpm,5,Manual,2348 mm,222 litres,Manual Air conditioning with cooling and heating,,,
9,Datsun,Redi-Go,S,"Rs. 3,62,000",799 cc,3,FWD (Front Wheel Drive),BS IV,28 litres,Petrol,1541 mm,3429 mm,1560 mm,Hatchback,21.38 km/litre,24 km/litre,25.17 km/litre,,,5,185 mm,Ventilated Disc,Drum,Electric Power,54PS@5678rpm,72Nm@4386rpm,5,Manual,2348 mm,222 litres,Manual Air conditioning with cooling and heating,,,
